"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","A","골목상권","3110932","서울시인재개발원","","","","","","","","","",""
"20261","A","골목상권","3110931","삼성전자서울R&D(서울우면초등학교)","","","","","","","","","",""
"20261","A","골목상권","3110930","서초동성당","","","","","","","","","",""
"20261","A","골목상권","3110929","남부터미널역 1번","","","","","","","","","",""
"20261","A","골목상권","3110928","서초우방유쉘아파트","","","","","","","","","",""
"20261","A","골목상권","3110927","잠원역","","","","","","","","","",""
"20261","A","골목상권","3110926","신중초등학교","","","","","","","","","",""
"20261","A","골목상권","3110925","서초중학교","","","","","","","","","",""
"20261","A","골목상권","3110924","반포4동주민센터(몽마르뜨공원)","","","","","","","","","",""
"20261","A","골목상권","3110923","방배역 1번","","","","","","","","","",""
"20261","A","골목상권","3110922","내방역 1번","","","","","","","","","",""
"20261","A","골목상권","3110921","서울프랑스학교","","","","","","","","","",""
"20261","A","골목상권","3110920","방배역 2번(백석예술대학교)","","","","","","","","","",""
"20261","A","골목상권","3110919","내방역 8번","","","","","","","","","",""
"20261","A","골목상권","3110918","방배역 3번","","","","","","","","","",""
"20261","A","골목상권","3110917","서초소방서","","","","","","","","","",""
"20261","A","골목상권","3110916","내방역 4번","","","","","","","","","",""
"20261","A","골목상권","3110915","서래초등학교","","","","","","","","","",""
"20261","A","골목상권","3110914","내방역 6번","","","","","","","","","",""
"20261","A","골목상권","3110913","방현초등학교(방배119안전센터)","","","","","","","","","",""
"20261","A","골목상권","3110912","방배동사이길","","","","","","","","","",""
"20261","A","골목상권","3110911","방배배수지체육공원","","","","","","","","","",""
"20261","A","골목상권","3110910","내방역 5번","","","","","","","","","",""
"20261","A","골목상권","3110909","남태령역(서울전자고등학교)","","","","","","","","","",""
"20261","A","골목상권","3110908","구반포역","","","","","","","","","",""
"20261","A","골목상권","3110907","방배초등학교","","","","","","","","","",""
"20261","A","골목상권","3110906","서문여고","","","","","","","","","",""
"20261","A","골목상권","3110905","방배노인종합복지관(이수중학교)","","","","","","","","","",""
"20261","A","골목상권","3110904","이수역 5번","","","","","","","","","",""
"20261","A","골목상권","3110903","방배아이파크아파트","","","","","","","","","",""
"20261","A","골목상권","3110902","사당역 4번","","","","","","","","","",""
"20261","A","골목상권","3110901","인헌고등학교(인헌중학교)","","","","","","","","","",""
"20261","A","골목상권","3110900","낙성대역 1번(관악구민 종합체육센터)","","","","","","","","","",""
"20261","A","골목상권","3110899","낙성대역 5번(관악중학교)","","","","","","","","","",""
"20261","A","골목상권","3110898","청림동주민센터(상도중학교)","","","","","","","","","",""
"20261","A","골목상권","3110897","서울대입구역 8번","","","","","","","","","",""
"20261","A","골목상권","3110896","관악우성아파트","","","","","","","","","",""
"20261","A","골목상권","3110895","샤로수길","","","","","","","","","",""
"20261","A","골목상권","3110894","관악동부센트레빌아파트(은천로35라길)","","","","","","","","","",""
"20261","A","골목상권","3110893","관악소방서(문영여고)","","","","","","","","","",""
"20261","A","골목상권","3110892","관악구 중앙길","","","","","","","","","",""
"20261","A","골목상권","3110891","구암초등학교","","","","","","","","","",""
"20261","A","골목상권","3110890","봉천역 1번(관악초등학교)","","","","","","","","","",""
"20261","A","골목상권","3110889","봉천역 6번","","","","","","","","","",""
"20261","A","골목상권","3110888","청룡동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110887","서울산업정보학교(서울삼성초등학교)","","","","","","","","","",""
"20261","A","골목상권","3110886","관악해태어린이공원","","","","","","","","","",""
"20261","A","골목상권","3110885","영락고등학교","","","","","","","","","",""
"20261","A","골목상권","3110884","봉천역 4번(봉천110안전센터)","","","","","","","","","",""
"20261","A","골목상권","3110883","은천초등학교(은천교앞)","","","","","","","","","",""
"20261","A","골목상권","3110882","신성초등학교","","","","","","","","","",""
"20261","A","골목상권","3110881","구립대학경로당(관악산샘말공원)","","","","","","","","","",""
"20261","A","골목상권","3110880","신림역 1번","","","","","","","","","",""
"20261","A","골목상권","3110879","신림현대아파트","","","","","","","","","",""
"20261","A","골목상권","3110878","미림여고","","","","","","","","","",""
"20261","A","골목상권","3110877","신림역 8번","","","","","","","","","",""
"20261","A","골목상권","3110876","서원동주민센터(신관중학교)","","","","","","","","","",""
"20261","A","골목상권","3110875","보라매동주민센터(당곡고등학교)","","","","","","","","","",""
"20261","A","골목상권","3110874","원신초등학교(구세군관악영문교회)","","","","","","","","","",""
"20261","A","골목상권","3110873","당곡중학교","","","","","","","","","",""
"20261","A","골목상권","3110872","신림초등학교","","","","","","","","","",""
"20261","A","골목상권","3110871","신원동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110870","신림주공2단지(광신고등학교)","","","","","","","","","",""
"20261","A","골목상권","3110869","신림역 5번(신림동주민센터, 신림동별빛거리)","","","","","","","","","",""
"20261","A","골목상권","3110868","남부초등학교","","","","","","","","","",""
"20261","A","골목상권","3110867","국제신학대학원대학교(남서울중학교)","","","","","","","","","",""
"20261","A","골목상권","3110866","난우중학교","","","","","","","","","",""
"20261","A","골목상권","3110865","남강고등학교(남강중학교)","","","","","","","","","",""
