"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","A","골목상권","3111036","투구봉어린이공원","1653139","761033","892107","291884","188424","235847","238689","266574","431723","475000","340599","175050","171472","261942","229077","232997","232485","232857","232747","232272","241712","248069"
"20261","A","골목상권","3111035","오금공원(오주중학교)","3032949","1431433","1601516","578042","302318","392587","479639","489617","790744","878360","631277","344772","324130","458099","396311","437388","432428","436145","436206","432147","427621","431014"
"20261","A","골목상권","3111034","오동나무공원(송파레미니스1단지)","2790354","1306959","1483396","550093","272051","346088","446777","468926","706418","736020","578538","338722","330567","453732","352776","400022","398636","397333","399768","395440","396400","402756"
"20261","A","골목상권","3111033","문정동성당","1339838","635224","704614","235688","131711","247431","234864","192852","297292","394286","288272","143562","137743","195572","180403","190648","189430","191189","190234","188268","191857","198213"
"20261","A","골목상권","3111032","방이역 1번","3868807","1760745","2108062","904994","376137","464357","568144","595897","959278","881987","774418","492067","509964","732222","478150","542525","545985","541920","553324","552682","571218","561155"
"20261","A","골목상권","3111031","장지동주민센터(한림연예예술고교)","3180382","1482320","1698062","570989","352648","525458","563231","464098","703958","943069","682683","334801","318916","466953","433960","453496","451159","454086","451494","445772","454624","469751"
"20261","A","골목상권","3111030","방이역 2번","2842050","1276507","1565543","613914","286892","355206","406636","454952","724452","645286","582499","370471","375755","522560","345480","398122","401163","399571","404847","402567","419769","416011"
"20261","A","골목상권","3111029","오금역 4번","1697842","806418","891423","262224","205676","286172","285572","268730","389465","455191","365460","201803","197524","260889","216975","246288","247207","247836","249320","246600","230223","230367"
"20261","A","골목상권","3111028","문현중학교(장지역 1번)","2900000","1346076","1553924","450313","391613","618707","511506","393580","534281","707818","607363","358183","359033","498068","369534","412870","412375","417680","416226","416031","413678","411140"
"20261","A","골목상권","3111027","문정초등학교","4373409","2081763","2291646","587867","621807","874771","746241","625739","916985","1201591","920993","513321","494818","678896","563791","630181","627053","632331","632159","631527","606421","613738"
"20261","A","골목상권","3111026","문정역 2번","4350960","2063661","2287298","606876","606647","940089","794566","605062","797718","1108860","910820","537613","528321","715614","549735","623262","620745","627326","625991","623221","615688","614727"
"20261","A","골목상권","3111025","경찰병원역 3번","3635684","1717369","1918314","535050","497731","650795","627505","550790","773812","986607","768271","422260","414957","571891","471699","523791","516720","523875","522574","521026","509957","517740"
"20261","A","골목상권","3111024","경찰병원역 4번(건너말공원)","3564263","1717645","1846618","464256","496577","688607","634751","546486","733587","848969","735625","465675","463107","610070","440819","516095","515579","521344","521582","521949","488570","479145"
"20261","A","골목상권","3111023","문정역 1번","2929966","1430174","1499792","368561","437474","645418","511056","410283","557176","756930","623902","373956","359991","460689","354499","427910","427231","431285","431918","431018","393204","387399"
"20261","A","골목상권","3111022","석촌중학교(방이육교)","3981458","1902907","2078550","650330","454459","677498","701722","620200","877248","1006663","843024","489705","483204","649288","509573","572705","575768","576367","578434","578318","549824","550040"
"20261","A","골목상권","3111021","방이역 4번","5562901","2560796","3002104","1392967","623329","779128","913877","735769","1117831","1289525","1055893","670330","727251","1110608","709295","783206","791095","787773","802362","811448","813746","773270"
"20261","A","골목상권","3111020","방이동고분군(방산고등학교)","1262757","561937","700820","326523","126195","149368","211787","170610","278274","374135","265873","136392","131707","189067","165585","181230","178247","180311","180130","181001","180401","181436"
"20261","A","골목상권","3111019","한성백제역 3번","3466190","1582194","1883996","570368","467100","672591","604429","463735","687966","970985","702954","383478","386723","564716","457334","490873","486783","495999","492110","496481","507316","496627"
"20261","A","골목상권","3111018","풍납초등학교(풍납백제문화공원)","2236394","1074486","1161908","360999","238532","323500","344853","374636","593874","669632","471884","226306","221710","341125","305735","317306","312109","312676","311162","307849","329237","346058"
"20261","A","골목상권","3111017","송파나루역 3번","1876352","868659","1007693","249997","271402","391794","329522","258676","374960","478944","379501","221960","224668","322724","248554","266133","263638","267134","268378","268894","270271","271907"
"20261","A","골목상권","3111016","송파역 2번","2727306","1231626","1495680","549531","282428","438562","470697","377893","608197","703568","582091","333285","324945","440842","342577","385771","388222","390995","389857","390935","391662","389864"
"20261","A","골목상권","3111015","석촌역 3번","5783571","2617388","3166184","810868","907833","1236602","984688","772843","1070737","1400930","1167018","718420","729013","1029446","738746","816131","813310","824206","828670","834093","844731","822429"
"20261","A","골목상권","3111014","송파나루역 2번","4144421","1995943","2148479","404822","890746","1025835","709449","491316","622254","972875","757764","502279","524733","822181","564589","564397","565343","574503","584446","602117","648227","605389"
"20261","A","골목상권","3111013","송파나루역 1번(송리단길)","5654028","2633265","3020763","574887","1126536","1357695","967955","698230","928724","1258920","1038369","728433","763817","1137725","726766","773387","774254","785060","795856","819186","883403","822880"
"20261","A","골목상권","3111012","석촌역 6번","3870993","1772642","2098351","537279","546347","828380","729648","502461","726877","982638","791963","468185","466800","656514","504893","547710","545773","553253","558523","561350","556499","547884"
"20261","A","골목상권","3111011","잠실나루역","1027691","460061","567629","234930","101832","129076","198207","148494","215153","274788","227390","114659","113356","163559","133939","145630","146666","148305","148647","149133","145735","143574"
"20261","A","골목상권","3111010","석촌역 7번","5504344","2487582","3016763","640119","863807","1262433","1004780","718764","1014442","1371534","1096828","676625","683473","970280","705605","768901","764289","773769","782696","787822","819400","807466"
"20261","A","골목상권","3111009","송파책박물관","1275288","618704","656585","226699","148284","253864","234522","171368","240551","358396","266204","146752","142874","196297","164767","180323","178373","179993","181504","180699","185064","189333"
"20261","A","골목상권","3111008","석촌고분역 3번","3284041","1556695","1727344","477794","443331","711765","609957","439781","601411","990381","695770","350062","334771","476283","436773","465207","457921","461023","463998","462224","479397","494270"
"20261","A","골목상권","3111007","석촌고분역 4번","2763814","1292153","1471661","388411","397161","608312","493701","367686","508546","853547","596360","284018","269966","390419","369505","393890","388207","389277","390286","388102","401107","412944"
"20261","A","골목상권","3111006","석촌고분역 1번","6143710","2773354","3370355","1043494","844071","1229207","1111030","810812","1105097","1634495","1217767","704964","726132","1058786","801565","869270","862094","869306","874837","875258","900322","892622"
"20261","A","골목상권","3111005","삼전역 3번","4174176","1962317","2211860","560362","594510","922002","766154","553599","777549","1211752","880247","445243","440688","642095","554152","592514","582927","590177","588295","587220","612254","620788"
"20261","A","골목상권","3111004","삼전역 1번","8214159","3839973","4374187","1374626","1186547","1581368","1492592","1112585","1466443","2143168","1626239","943289","967382","1446735","1087348","1154362","1146654","1156612","1162047","1172858","1220576","1201050"
"20261","A","골목상권","3111003","삼전역 4번","4469342","2116176","2353166","586998","648816","943963","785341","629493","874730","1278230","940854","484474","470695","696879","598208","630993","620356","629782","628453","628917","658891","671949"
"20261","A","골목상권","3111002","한국교통안전공단 강남자동차검사소","7009","4697","2311","575","897","1436","1656","1481","964","1163","1810","997","1056","1214","769","962","1110","1066","1040","1078","909","846"
"20261","A","골목상권","3111001","아래방죽마을공원(율현초등학교)","417015","190625","226389","94447","46552","83794","77036","49667","65519","108726","88247","45893","47622","70053","56473","58028","57806","58812","59944","59198","61713","61513"
"20261","A","골목상권","3111000","대왕초등학교(세곡동사거리서남측)","161360","82476","78884","35232","13495","19221","26964","23415","43033","31785","34426","22621","24031","30094","18402","23106","23615","23429","23565","23249","22031","22365"
"20261","A","골목상권","3110999","윗방죽마을공원","991263","436555","554707","203976","115121","207616","186378","112724","165447","274019","210798","107644","105851","157826","135126","140148","138860","140047","142178","140044","145262","144724"
"20261","A","골목상권","3110998","은곡마을(은곡마을공원)","1200635","538325","662311","302469","109859","164308","212661","155844","255496","326718","250687","136398","134985","193937","157909","169986","167256","169095","169074","167882","175305","182037"
"20261","A","골목상권","3110997","대청초등학교","2871968","1405728","1466239","474090","339353","458853","545761","409377","644531","781207","607043","329240","318454","454969","381057","410469","410626","413260","409938","411972","402955","412747"
"20261","A","골목상권","3110996","대치2동주민센터","4376129","2338545","2037583","1902375","355463","373252","789722","523548","431769","832620","806597","607049","685357","947976","496531","616115","615851","613463","630550","643095","655120","601935"
"20261","A","골목상권","3110995","봉은사역 4번","2184873","1089363","1095511","330961","254161","387696","442535","353680","415841","519767","499195","296794","286356","330964","251799","315478","320656","322125","324206","323527","296766","282118"
"20261","A","골목상권","3110994","개포고등학교","1268495","567912","700583","346105","98196","145966","243154","164057","271016","336205","274928","151092","146530","196222","163518","181685","182984","185079","184572","184320","180219","169635"
"20261","A","골목상권","3110993","개포지하차도 북측","280362","126928","153435","64610","18815","36489","60672","38956","60819","83948","58809","28136","28005","41996","39468","39367","38958","39486","39105","39372","41405","42670"
"20261","A","골목상권","3110992","도곡초등학교","7574620","3802892","3771727","3185946","727565","709800","1273618","957878","719813","1378327","1379772","1071187","1187492","1676271","881570","1050346","1041589","1058424","1073333","1103599","1166258","1081071"
"20261","A","골목상권","3110991","삼성중앙역 5번","1281569","627467","654102","103151","217756","318430","314226","194136","133871","164626","252278","253747","256516","247218","107187","182138","192408","199515","206029","200084","158144","143253"
"20261","A","골목상권","3110990","청담역 12번","424672","202662","222010","49666","53797","82320","90185","63728","84977","55901","99198","72197","73008","81694","42675","62053","63261","64167","64207","64522","56058","50406"
"20261","A","골목상권","3110989","대치동아우편취급국","5845396","2975572","2869824","1240293","806858","1054031","1222707","880234","641273","1176743","1163551","893696","888253","1081050","642104","847650","872347","888058","891941","899181","749490","696730"
