"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20253","11","서울시","CS300018","의약품","1792240506318","73837077","1601419125358","190821380960","380776612743","376917117228","263606439377","286892710088","293226245922","162182106027","28639274933","617677530","371649929468","540918820190","600198856426","267775206577","11080016126","899276688282","770748390405","2384530203","77119312348","226651718165","327577112113","388760817708","647531586858","62695543","11141535","14986699","13324991","10813586","11596805","11973462","9096363","2045172","44906","16281392","20140745","20761933","15887375","720726","34274580","39421244","295275","6505516","12952064","13947392","15611525","24384067"
"20253","11","서울시","CS300017","시계및귀금속","296987705852","627625","227337009949","69650695903","43018866349","40000396671","43394129767","57707268784","43216348378","44330404857","25320291046","213029945","10392262458","95634551173","118451300521","69985437868","2311123887","151931690912","122820605058","305211488","15972550904","51261673827","64310519852","68122840320","74778951976","501026","126599","100462","105931","94288","104633","95712","80744","45855","91","42096","189747","252722","139206","3763","262705","290763","3009","59124","119428","106653","116605","148636"
"20253","11","서울시","CS300016","안경","142435013426","1425371","99122573311","43312440115","20732471334","20304068808","17512104391","19822067408","20751861369","26791671484","16520768630","5187869","7146104099","36511057105","45329922693","51559080422","1883661237","64776561867","76592039629","976117244","19224250726","26615513169","30513595582","35421651796","28617346003","1028710","396660","207810","210911","187697","207175","215117","240018","156642","198","73349","339573","416484","563202","32566","512827","908167","27820","358628","294300","260027","273616","206593"
"20253","11","서울시","CS300015","가방","53025967931","1504260","35408971773","17616996158","6818289622","7661933472","6565473999","6488925557","7874349123","9806986100","7810010058","2282413","2003103627","12897524856","19575052780","16509864605","2038139650","16805148265","34264510618","289939078","6460065751","11900413402","11698847784","10321332098","10399060767","923174","581086","166837","191668","166753","187180","210736","300275","280811","273","61701","356742","484608","533083","67853","499016","988041","16291","248515","347856","322023","264850","287526"
"20253","11","서울시","CS300014","신발","94834506052","1084211","66380651286","28453854766","12996133266","11644223546","13692021677","12264762967","15783509830","16530267108","11923587658","47079647","7947806658","32299819888","28990379826","24096440654","1452979379","44869398759","46723912162","535547650","10202715414","17334507793","15364899344","21858118056","26297522674","719695","364516","135421","141794","125671","151618","165191","207528","156988","1048","75750","297828","383579","302195","23811","443127","616110","9294","135031","166397","164395","191259","392863"
"20253","11","서울시","CS300011","일반의류","1662728802457","28724963","1026567659773","636161142684","185196065786","214531387811","196851434636","202477439847","227511331692","344806285869","291354856814","12448539722","44278446617","415906563568","597234452657","540045681670","52815118223","586156048088","1033701626582","8334323034","177938259540","339702790013","335051021292","363863312730","394969174525","17842248","10882716","3143729","3624343","3391529","3612535","4070112","5870876","5011841","218990","779667","7226260","9684727","9637431","1177889","9349143","19281033","293410","4409858","6039020","5777683","5770338","6339861"
"20253","11","서울시","CS300010","반찬가게","875243624070","37226256","733046632733","142196991337","140809756094","169712680321","132167601596","150598836995","139757757730","102285388415","39911602922","136926727849","215834642186","200872554440","161271514432","109225193465","51112991699","374898483062","367357603819","1149671485","30098708794","91625991787","179753900007","174792515080","264860440968","30360094","6866161","5967824","6570839","5846785","6065312","5909334","4159445","2706716","1751610","8187553","11140487","7480770","6778059","1887778","17794967","16760715","287608","4403735","8161802","6785247","6857627","8060328"
"20253","11","서울시","CS300009","청과상","1359057929513","50561670","1002089841610","356968087904","198817281469","220523305579","163987118223","199097089947","219665046391","224316924457","132651163446","47829323138","336218735562","372254384507","391203212761","194739976579","16812296967","558716096003","695015994254","549759007","24780538150","86078047788","165775893008","278094044140","698453808167","34365276","16196393","6776811","7250658","5820052","7034934","7482821","9829691","6366703","387951","9477157","14358339","16234779","9724029","379413","21187563","28455783","50749","1120285","3365407","6218624","11115474","27772825"
"20253","11","서울시","CS300008","수산물판매","921087553652","15113069","573856527763","347231025889","103570857138","123457063327","97281937303","109330554823","140216115172","218824973222","128406052667","37093945249","167911537871","190673349517","207929690334","284704924071","32774106610","456668476186","346250169023","453542698","47372187508","137086977401","133965905432","160405715852","323634316314","9311033","5802036","1686098","1925684","1604753","1776217","2318281","3621440","2180596","375241","2576030","3609343","4090586","4089266","372603","7262124","7057214","8980","759489","1932873","2134806","2905878","6577295"
"20253","11","서울시","CS300007","육류판매","785626598679","15454782","601198733871","184427864807","112685568530","127486363589","100874922844","120182454295","139969424615","119457916016","64969948792","10537538090","163133387038","194205772015","233503911164","170255108340","13990882032","331325128410","402180290401","331375977","15115685902","69924085908","119989150690","167674155258","360470965074","10874168","4580615","2081727","2223387","1992728","2147472","2428854","2753197","1827417","116163","2365652","3523038","4411457","4813070","225402","6423681","8742135","17894","515206","1581022","2364505","3751104","6936053"
