"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20243","11215","광진구","99545489000","23096340000","2657044000","1801248000","15185843000","7262206000","3409641000","4053675000","6595703000","4965064000","30518725000"
"20243","11200","성동구","97944123000","21870945000","3983067000","1223996000","13982172000","6389709000","3363562000","2479229000","6941448000","12159856000","25550139000"
"20243","11170","용산구","276158498000","160283249000","3059742000","8051706000","5889767000","2949111000","1466309000","3350613000","28664656000","28134149000","34309196000"
"20243","11140","중구","2926276252000","42959719000","8223628000","6124898000","14560319000","425350713000","25943111000","2966389000","2289941534000","74015632000","36190309000"
"20243","11110","종로구","220006567000","16917028000","4690716000","1238302000","22851333000","6206771000","6894803000","4599744000","18904951000","92303683000","45399236000"
"20242","11740","강동구","157864735000","23331462000","2428563000","1590537000","21974063000","3736967000","6822469000","2666873000","66151709000","3909040000","25253052000"
"20242","11710","송파구","377714993000","39991266000","7862394000","3777834000","41102065000","9279118000","10887384000","5057002000","200960475000","8386208000","50411247000"
"20242","11680","강남구","2702405974000","43256745000","32591449000","6586995000","131468635000","28136322000","36557454000","10037077000","1386452708000","944077351000","83241238000"
"20242","11650","서초구","620118510000","23193460000","5627117000","14623878000","64445170000","6511267000","13492072000","4652029000","257913782000","181188434000","48471301000"
"20242","11620","관악구","121049434000","29978597000","3027037000","1528411000","18331935000","2956441000","14655744000","5137957000","9549715000","4608357000","31275240000"
"20242","11590","동작구","184191389000","25083858000","1417762000","1498642000","16922171000","98776589000","4521986000","2544946000","4395424000","4361703000","24668308000"
"20242","11560","영등포구","263727148000","27713523000","4246037000","2909528000","24856058000","75368918000","4097049000","4421307000","47080588000","24806630000","48227510000"
"20242","11545","금천구","74531440000","16127021000","13346786000","1131244000","9214178000","3711147000","1608042000","1774020000","11551671000","2190171000","13877160000"
"20242","11530","구로구","1614231673000","25791602000","1836446000","2096310000","23115656000","4420522000","3847559000","3028235000","1523729762000","3779414000","22586167000"
"20242","11500","강서구","231352477000","34067640000","6533371000","2276283000","32773565000","33678827000","6986997000","4639547000","55668619000","16818036000","37909592000"
"20242","11470","양천구","109856039000","27000349000","1645174000","1151161000","21961261000","5861411000","13966699000","2070427000","11024895000","3784860000","21389802000"
"20242","11440","마포구","1214360961000","33036770000","7987924000","2930999000","20376075000","4233535000","9334988000","7908183000","1064503684000","8816265000","55232538000"
