"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20231","R","전통시장","3130091","청량종합도매시장","486371","252038","234334","20574","45919","50654","67332","90784","211108","71994","103944","93185","95426","80577","41244","70020","71032","71154","72497","72983","70485","58203"
"20231","R","전통시장","3130090","청량리종합시장","367823","188421","179403","15197","34230","38478","49703","68868","161345","53483","79027","71192","72782","60230","31110","52954","53874","54162","55149","55250","53185","43250"
"20231","R","전통시장","3130089","청량리수산시장","68916","34494","34422","5048","6540","7693","9525","12602","27506","13768","14841","11397","11273","10827","6810","9903","9734","9988","10082","9986","10169","9054"
"20231","R","전통시장","3130088","경동시장","78388","39467","38921","4367","8700","8956","10613","14039","31715","11665","16694","14784","15196","13090","6957","11227","11452","11588","11759","11665","11364","9335"
"20231","R","전통시장","3130087","경동광성상가(경동시장)","170721","87221","83501","8174","18039","18390","22857","31483","71777","25288","36494","32686","33321","27930","15004","24383","24893","25249","25644","25545","24853","20154"
"20231","R","전통시장","3130086","서울약령시장","1459942","710756","749185","145304","245682","195442","204097","225103","444315","287895","321699","233084","231056","235198","151009","213640","216555","215118","216120","212673","201572","184263"
"20231","R","전통시장","3130085","용두시장","50892","24031","26861","4327","11042","9907","7542","7783","10291","9617","10742","7723","7526","9393","5891","7421","7477","7604","7580","7598","6784","6429"
"20231","R","전통시장","3130084","신성시장(신성골목시장)","200682","92138","108544","22303","26062","27965","27152","36914","60286","56411","38536","21835","22264","33205","28430","28872","28677","28671","28394","28272","28802","28996"
"20231","R","전통시장","3130083","중곡제일시장(중곡제일골목시장, 광성시장)","251939","115768","136171","38536","31269","44643","33685","41972","61831","57627","48793","31626","33237","48368","32288","35159","35164","34985","35248","35468","37756","38159"
"20231","R","전통시장","3130082","면곡골목시장","68227","34147","34080","7871","8170","10098","10331","14083","17675","17199","11374","7393","8263","13350","10649","9728","9413","9518","9383","9592","10121","10471"
"20231","R","전통시장","3130081","자양골목전통시장(자양골목시장)","819434","371668","447766","83138","136673","148349","125485","130704","195086","211915","160066","92009","96633","143055","115757","115302","113886","114500","114051","115455","122532","123708"
"20231","R","전통시장","3130080","자양종합시장(기능상실)","55248","26032","29216","10740","7054","9786","9205","7644","10820","13033","10721","6662","6867","10653","7312","7664","7631","7628","7634","7717","8418","8557"
"20231","R","전통시장","3130079","한아름시장","152631","71366","81264","14573","71227","25160","14632","11682","15357","38574","31046","16105","16304","29527","21078","20469","20950","20779","20516","21201","24783","23934"
"20231","R","전통시장","3130078","화양제일골목시장","292601","139040","153562","29664","133620","48725","27902","22952","29741","78777","57798","29085","29740","55264","41938","39360","40204","40134","39552","41253","47103","44996"
"20231","R","전통시장","3130077","조양시장","55860","24050","31810","4737","17917","9636","7542","7286","8741","11849","9961","7035","7642","11795","7577","7774","7887","7931","7794","8090","8507","7876"
"20231","R","전통시장","3130076","능동로골목시장","201092","92327","108765","21805","31061","31455","31694","33576","51501","44394","39607","24117","26839","41408","24727","28464","28336","28465","28459","28541","29943","28882"
"20231","R","전통시장","3130075","노룬산시장(노룬산골목시장)","74204","35921","38283","6611","9440","10382","11693","14653","21426","16439","14401","9079","9942","14825","9518","10494","10143","10244","10158","10240","11343","11581"
"20231","R","전통시장","3130074","영동교골목시장","379896","181341","198554","34425","72635","59763","50612","69949","92511","115664","80263","36756","36519","58030","52666","52967","52328","52160","51737","52037","57816","60850"
"20231","R","전통시장","3130073","뚝도시장","629120","316262","312858","75120","88348","119302","93954","113273","139123","143379","115694","85714","90276","114445","79613","90444","91444","92760","93491","93891","86934","80157"
"20231","R","전통시장","3130072","성동용답상가시장","964732","461482","503251","90299","186075","150776","140817","159989","236775","271528","199661","107107","104840","153223","128373","136288","135854","136026","135633","135566","139985","145383"
