"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","전체_점포_수","일반_점포_수","프랜차이즈_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수"
"20261","11650","서초구","CS200041","사진관","480.0","478.0","2.0","0.6","3.0","1.5","7.0"
"20261","11650","서초구","CS200040","녹음실","112.0","112.0","0.0","0.0","0.0","0.9","1.0"
"20261","11650","서초구","CS200039","DVD방","13.0","13.0","0.0","7.7","1.0","0.0","0.0"
"20261","11650","서초구","CS200038","독서실","198.0","181.0","17.0","2.5","5.0","3.0","6.0"
"20261","11650","서초구","CS200037","노래방","210.0","198.0","12.0","2.4","5.0","3.3","7.0"
"20261","11650","서초구","CS200036","고시원","8.0","8.0","0.0","0.0","0.0","0.0","0.0"
"20261","11650","서초구","CS200035","게스트하우스","36.0","36.0","0.0","0.0","0.0","2.8","1.0"
"20261","11650","서초구","CS200034","여관","90.0","90.0","0.0","2.2","2.0","2.2","2.0"
"20261","11650","서초구","CS200033","부동산중개업","2958.0","2957.0","1.0","0.0","1.0","1.8","54.0"
"20261","11650","서초구","CS200032","가전제품수리","106.0","106.0","0.0","2.8","3.0","0.0","0.0"
"20261","11650","서초구","CS200031","세탁소","283.0","226.0","57.0","2.8","8.0","2.1","6.0"
"20261","11650","서초구","CS200030","피부관리실","615.0","593.0","22.0","4.4","27.0","2.0","12.0"
"20261","11650","서초구","CS200029","네일숍","221.0","219.0","2.0","0.0","0.0","0.9","2.0"
"20261","11650","서초구","CS200028","미용실","855.0","768.0","87.0","1.8","15.0","2.2","19.0"
"20261","11650","서초구","CS200027","모터사이클수리","14.0","14.0","0.0","0.0","0.0","0.0","0.0"
"20261","11650","서초구","CS200026","자동차미용","128.0","122.0","6.0","0.0","0.0","3.9","5.0"
"20261","11650","서초구","CS200025","자동차수리","252.0","222.0","30.0","0.8","2.0","1.6","4.0"
"20261","11650","서초구","CS200024","스포츠클럽","419.0","410.0","9.0","0.5","2.0","2.1","9.0"
"20261","11650","서초구","CS200023","통신기기수리","24.0","24.0","0.0","4.2","1.0","0.0","0.0"
"20261","11650","서초구","CS200022","복권방","35.0","35.0","0.0","0.0","0.0","2.9","1.0"
"20261","11650","서초구","CS200021","기타오락장","45.0","38.0","7.0","2.2","1.0","6.7","3.0"
"20261","11650","서초구","CS200020","전자게임장","4.0","3.0","1.0","0.0","0.0","0.0","0.0"
"20261","11650","서초구","CS200019","PC방","41.0","36.0","5.0","2.4","1.0","2.4","1.0"
"20261","11650","서초구","CS200018","볼링장","8.0","8.0","0.0","0.0","0.0","12.5","1.0"
"20261","11650","서초구","CS200017","골프연습장","141.0","120.0","21.0","2.1","3.0","4.3","6.0"
"20261","11650","서초구","CS200016","당구장","216.0","210.0","6.0","1.4","3.0","2.3","5.0"
"20261","11650","서초구","CS200015","세무사사무소","1230.0","1230.0","0.0","0.3","4.0","1.5","18.0"
"20261","11650","서초구","CS200014","회계사사무소","132.0","132.0","0.0","3.0","4.0","0.0","0.0"
"20261","11650","서초구","CS200013","기타법무서비스","374.0","374.0","0.0","0.3","1.0","1.9","7.0"
"20261","11650","서초구","CS200012","법무사사무소","881.0","881.0","0.0","3.4","30.0","0.7","6.0"
"20261","11650","서초구","CS200011","변리사사무소","188.0","188.0","0.0","0.5","1.0","2.1","4.0"
"20261","11650","서초구","CS200010","변호사사무소","2824.0","2824.0","0.0","1.2","33.0","2.1","60.0"
"20261","11650","서초구","CS200009","동물병원","61.0","60.0","1.0","4.9","3.0","1.6","1.0"
"20261","11650","서초구","CS200008","한의원","286.0","286.0","0.0","1.0","3.0","0.3","1.0"
"20261","11650","서초구","CS200007","치과의원","333.0","333.0","0.0","2.1","7.0","1.2","4.0"
"20261","11650","서초구","CS200006","일반의원","1073.0","1073.0","0.0","2.4","26.0","1.3","14.0"
"20261","11650","서초구","CS200005","스포츠 강습","696.0","671.0","25.0","3.0","21.0","1.9","13.0"
"20261","11650","서초구","CS200004","컴퓨터학원","40.0","40.0","0.0","0.0","0.0","0.0","0.0"
"20261","11650","서초구","CS200003","예술학원","727.0","710.0","17.0","2.8","20.0","1.8","13.0"
"20261","11650","서초구","CS200002","외국어학원","252.0","246.0","6.0","1.6","4.0","3.6","9.0"
"20261","11650","서초구","CS200001","일반교습학원","1754.0","1653.0","101.0","2.7","47.0","3.2","57.0"
"20261","11650","서초구","CS100010","커피-음료","1565.0","1192.0","373.0","3.1","48.0","3.1","49.0"
"20261","11650","서초구","CS100009","호프-간이주점","580.0","478.0","102.0","2.4","14.0","4.0","23.0"
"20261","11650","서초구","CS100008","분식전문점","574.0","421.0","153.0","3.3","19.0","4.2","24.0"
"20261","11650","서초구","CS100007","치킨전문점","206.0","77.0","129.0","1.9","4.0","1.0","2.0"
"20261","11650","서초구","CS100006","패스트푸드점","336.0","152.0","184.0","3.0","10.0","4.5","15.0"
"20261","11650","서초구","CS100005","제과점","412.0","300.0","112.0","3.9","16.0","6.1","25.0"
"20261","11650","서초구","CS100004","양식음식점","542.0","488.0","54.0","2.0","11.0","1.8","10.0"
"20261","11650","서초구","CS100003","일식음식점","381.0","315.0","66.0","1.0","4.0","2.1","8.0"
"20261","11650","서초구","CS100002","중식음식점","277.0","232.0","45.0","2.5","7.0","2.5","7.0"
"20261","11650","서초구","CS100001","한식음식점","2817.0","2461.0","356.0","3.3","92.0","2.8","79.0"
"20261","11620","관악구","CS300043","전자상거래업","677.0","677.0","0.0","0.0","0.0","7.5","51.0"
"20261","11620","관악구","CS300042","주유소","28.0","28.0","0.0","0.0","0.0","0.0","0.0"
"20261","11620","관악구","CS300041","예술품","23.0","23.0","0.0","4.3","1.0","0.0","0.0"
"20261","11620","관악구","CS300040","재생용품 판매점","44.0","44.0","0.0","0.0","0.0","2.3","1.0"
"20261","11620","관악구","CS300039","모터사이클및부품","52.0","52.0","0.0","5.8","3.0","0.0","0.0"
"20261","11620","관악구","CS300038","자동차부품","86.0","86.0","0.0","1.2","1.0","3.5","3.0"
"20261","11620","관악구","CS300037","중고차판매","9.0","9.0","0.0","0.0","0.0","0.0","0.0"
"20261","11620","관악구","CS300036","조명용품","147.0","147.0","0.0","0.7","1.0","0.7","1.0"
"20261","11620","관악구","CS300035","인테리어","163.0","163.0","0.0","1.8","3.0","1.2","2.0"
"20261","11620","관악구","CS300034","악기","17.0","17.0","0.0","5.9","1.0","5.9","1.0"
"20261","11620","관악구","CS300033","철물점","123.0","123.0","0.0","3.3","4.0","0.8","1.0"
"20261","11620","관악구","CS300032","가전제품","78.0","78.0","0.0","1.3","1.0","0.0","0.0"
"20261","11620","관악구","CS300031","가구","78.0","78.0","0.0","0.0","0.0","2.6","2.0"
"20261","11620","관악구","CS300030","중고가구","2.0","2.0","0.0","0.0","0.0","0.0","0.0"
"20261","11620","관악구","CS300029","애완동물","94.0","88.0","6.0","5.3","5.0","5.3","5.0"
"20261","11620","관악구","CS300028","화초","150.0","148.0","2.0","2.0","3.0","6.0","9.0"
"20261","11620","관악구","CS300027","섬유제품","72.0","72.0","0.0","1.4","1.0","1.4","1.0"
"20261","11620","관악구","CS300026","완구","28.0","28.0","0.0","7.1","2.0","10.7","3.0"
"20261","11620","관악구","CS300025","자전거 및 기타운송장비","23.0","23.0","0.0","4.3","1.0","4.3","1.0"
"20261","11620","관악구","CS300024","운동/경기용품","81.0","81.0","0.0","4.9","4.0","2.5","2.0"
"20261","11620","관악구","CS300023","미용재료","48.0","48.0","0.0","4.2","2.0","0.0","0.0"
"20261","11620","관악구","CS300022","화장품","294.0","264.0","30.0","1.7","5.0","1.7","5.0"
"20261","11620","관악구","CS300021","문구","108.0","97.0","11.0","4.6","5.0","3.7","4.0"
