"기준_년분기_코드","자치구_코드","자치구_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20241","11500","강서구","560995","268800","292195","72517","78869","95807","86146","83120","144536","37085","35710","47788","43214","40358","64645","35432","43159","48019","42932","42762","79891","273059","0","273059"
"20241","11470","양천구","435645","212647","222998","73086","52445","52981","72463","74778","109892","37891","26380","26333","34671","36926","50446","35195","26065","26648","37792","37852","59446","180421","0","180421"
"20241","11440","마포구","362701","169519","193182","46999","58755","63519","56769","55909","80750","23706","25795","30016","27471","27165","35366","23293","32960","33503","29298","28744","45384","180459","0","180459"
"20241","11410","서대문구","305725","145207","160518","39629","48112","44858","44230","48855","80041","19994","22416","22027","21889","23589","35292","19635","25696","22831","22341","25266","44749","146397","0","146397"
"20241","11380","은평구","466475","221573","244902","59799","61748","66290","70206","77786","130646","30572","28827","32355","34696","37478","57645","29227","32921","33935","35510","40308","73001","215511","0","215511"
"20241","11350","노원구","498037","239023","259014","73576","66256","61007","75380","86409","135409","38055","33564","30594","35976","41653","59181","35521","32692","30413","39404","44756","76228","217800","0","217800"
"20241","11320","도봉구","306437","148571","157866","36582","37326","37530","42450","54189","98360","18939","18604","19287","21295","25843","44603","17643","18722","18243","21155","28346","53757","137870","0","137870"
"20241","11305","강북구","287918","139417","148501","30704","38118","34968","39872","50233","94023","15700","18220","18416","20572","24836","41673","15004","19898","16552","19300","25397","52350","143436","0","143436"
"20241","11290","성북구","425160","203927","221233","59077","64622","56048","63392","70853","111168","30148","30383","28067","31156","34887","49286","28929","34239","27981","32236","35966","61882","196499","0","196499"
"20241","11260","중랑구","381547","187074","194473","43022","49886","57665","53061","64643","113270","21987","23928","29391","27653","31883","52232","21035","25958","28274","25408","32760","61038","187708","0","187708"
"20241","11230","동대문구","340101","166877","173224","40870","56516","49132","48567","52445","92571","20765","26896","25299","25005","26457","42455","20105","29620","23833","23562","25988","50116","171946","0","171946"
