"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","R","전통시장","3130265","노량진중앙시장","57781963","12609574","8085687","3769779","6818414","6533480","2352401","2356566","12202081","3053981"
"20261","R","전통시장","3130264","상도약수골목형상점가","301449724","74791812","37199364","22879084","37239495","51068691","13087806","8799046","43947977","12436449"
"20261","R","전통시장","3130263","신노량진시장(기능상실)","3754035","905882","537023","329831","439701","724904","211640","122642","292122","190290"
"20261","R","전통시장","3130262","상도도깨비 골목형상점가","318660661","98279588","37187659","23608455","46876090","44738214","10546317","10773605","33694952","12955781"
"20261","R","전통시장","3130261","성대전통시장(성대시장)","629962865","164906923","76954066","48332359","81368507","103370460","26101092","19426499","83607552","25895407"
"20261","R","전통시장","3130260","신대방1동골목상권","307297031","95787948","35223707","21378235","45266038","42792073","9245213","10220088","34905672","12478057"
"20261","R","전통시장","3130259","대신시장","56226226","18030148","6474150","3990490","9035074","7598348","2174074","1790399","5040434","2093109"
"20261","R","전통시장","3130258","영진시장A동","48509994","13569842","5675208","3691298","6927030","7012737","2177273","1453405","6260532","1742669"
"20261","R","전통시장","3130257","영등포시장기계공구상가","241013031","70809561","29164620","18401227","36561275","39150778","8789736","7514704","20071245","10549885"
"20261","R","전통시장","3130256","신동시장","20807565","6073304","2578581","1460017","3034712","3379798","838702","638439","1925677","878335"
"20261","R","전통시장","3130255","영등포전통시장","865528801","279101311","100163690","64005980","136930152","121111433","28298107","28387013","72072136","35458979"
"20261","R","전통시장","3130253","영신상가(제일상가)","11666400","2660100","1739556","931170","1349940","2267256","880680","336564","983484","517650"
"20261","R","전통시장","3130249","동남상가","109783216","24711893","15379731","9006990","13153557","21007382","7368584","3092852","11373602","4688625"
"20261","R","전통시장","3130248","영등포역지하도상점가","","","","","","","","","",""
"20261","R","전통시장","3130247","우리시장","189536407","60698175","21395447","12469150","30153513","25514133","5620821","5964574","20335132","7385462"
"20261","R","전통시장","3130246","영등포청과시장(조광시장)","962828082","288693150","114442030","72208999","140855175","147169167","32977455","31411298","94711639","40359169"
"20261","R","전통시장","3130245","영일시장","307551166","90252604","36287153","23532547","46361212","46097313","12624768","9381470","31066627","11947472"
"20261","R","전통시장","3130244","대림중앙시장","493917278","146941608","58943232","34458977","71603978","77015312","16499468","15659532","52049339","20745832"
"20261","R","전통시장","3130243","도림시장","24920369","6324536","3104532","2233958","2957701","4139865","1146596","794180","3146912","1072089"
"20261","R","전통시장","3130242","대림중앙 골목형상점가","198390524","60456032","23486924","13776281","29667906","30233040","6695928","6276503","19572792","8225118"
"20261","R","전통시장","3130241","선유도역 골목형상점가","695625304","176743539","84356441","52384468","81632899","109551705","26270225","21866516","113706927","29112584"
"20261","R","전통시장","3130240","영등포유통상가","","","","","","","","","",""
"20261","R","전통시장","3130238","은행나무시장","562701483","168933153","64891343","38608691","85294799","84900485","18338587","17345857","61905684","22482884"
"20261","R","전통시장","3130237","박미시장(기능상실)","62566033","15776538","8156895","4850242","8286432","11081333","3290187","1795096","6692767","2636543"
"20261","R","전통시장","3130236","비단길현대시장(현대시장)","1205860024","360497763","139231280","88054290","177723585","175355996","41438110","38175325","137613104","47770571"
"20261","R","전통시장","3130235","대명여울빛거리시장(대명시장)","272896032","64260036","32549205","22075555","32023823","46005719","11739065","7875778","45702688","10664163"
"20261","R","전통시장","3130234","푸른터시장(기능상실)","37315946","7510844","4820530","3260090","3950318","6881322","2251196","987862","6209980","1443804"
"20261","R","전통시장","3130233","남문시장","775799779","217922078","93147162","55542930","109610288","124840006","27968084","23410401","90424508","32934322"
"20261","R","전통시장","3130232","독산동 맛나는거리상점가(독산동 맛나는거리)","453488903","133518016","54094903","31640354","66486497","70168656","16139642","14068738","48515006","18857091"
"20261","R","전통시장","3130231","독산동 우시장","180903409","40005848","25050875","13812952","20769123","32148657","10313747","5452178","25016744","8333285"
"20261","R","전통시장","3130230","가리봉시장","113919138","32884094","13825073","8249032","16320323","18279631","4007424","3531914","11796114","5025533"
"20261","R","전통시장","3130229","남구로시장","417839578","113745827","49699869","30424504","56708459","64607634","16484007","12306046","57328765","16534467"
"20261","R","전통시장","3130228","구로시장","158575048","43575945","19101411","11049362","21279933","24951398","5738407","4798952","21439773","6639867"
"20261","R","전통시장","3130227","고척골목시장상점가(그라운드 고척)","123804481","29704175","16013930","9560395","15364218","22314450","6286737","3536872","15810156","5213548"
"20261","R","전통시장","3130226","고척프라자","19233160","4369846","2690226","1632406","2353993","3731810","1291678","542422","1797633","823146"
"20261","R","전통시장","3130225","개봉중앙시장","1560132912","405458431","187745808","112912256","208790799","272390324","52935652","45993289","205593929","68312424"
"20261","R","전통시장","3130224","개봉프라자(고척근린시장)","123369859","25332178","16086866","9638843","13274916","22091675","7154649","3242194","21695544","4852994"
"20261","R","전통시장","3130223","고척근린시장","224881527","68377175","26075488","15511232","34359229","33501819","7520295","6966752","23600304","8969233"
"20261","R","전통시장","3130222","오류시장","121966705","36602369","14252190","8892365","18561750","17712852","4350738","3819180","12923641","4851620"
"20261","R","전통시장","3130221","남부골목시장(남부화곡시장, 남부시장)","1026474070","269795123","124570932","76019496","136961676","174516717","39031263","30946612","131581596","43050655"
"20261","R","전통시장","3130220","등마루시장","","","","","","","","","",""
"20261","R","전통시장","3130219","까치산시장","964538254","224862158","118723940","72294578","115778435","176800455","38630151","27383415","148681042","41384080"
"20261","R","전통시장","3130218","신월중앙시장","54717610","13712310","6850595","3962170","6204070","9338615","2144255","1674685","8426485","2404425"
"20261","R","전통시장","3130217","화곡본동시장","289392426","66377116","35199470","21333537","33654662","53560792","10477574","8397428","47866241","12525606"
"20261","R","전통시장","3130216","화곡중앙시장","827208819","202381028","100053343","59678936","101611406","145891175","29432791","24571170","128214421","35374549"
"20261","R","전통시장","3130214","송화벽화시장(송화골목시장)","520664624","119085670","63862270","38588015","60586860","90584475","22617231","14595304","89670788","21074011"
"20261","R","전통시장","3130213","방신전통시장","299930105","73346119","38686941","23173199","37057000","51703794","15506856","8580542","39353737","12521917"
"20261","R","전통시장","3130212","공항시장","297129392","78177178","37185834","22642105","39170932","47910773","14800153","8856908","36518819","11866690"
"20261","R","전통시장","3130211","신정2동 골목시장(오목교중앙시장)","407776916","132990458","45247136","27521783","64939596","51199372","12491074","13298336","44926894","15162267"
"20261","R","전통시장","3130210","목2동시장","385556080","97020456","46586324","28374852","48089562","66022921","14341853","11586068","57490420","16043624"
"20261","R","전통시장","3130209","목사랑시장(목4동시장)","772494965","187614699","94432449","53711678","92963683","129313654","29520328","21839229","130340785","32758460"
"20261","R","전통시장","3130208","목동깨비시장(목3동시장)","666824330","153617459","84162224","52426856","78644998","118372980","32670455","19032587","100757343","27139428"
"20261","R","전통시장","3130207","신정1동 골목시장(신정제일시장)","30885684","10030571","3430437","2070823","5060219","3944294","950159","978055","3267995","1153131"
"20261","R","전통시장","3130206","신정3동 골목시장","15567117","4190940","1943889","1272889","2010857","2432392","697040","502410","1859340","657360"
"20261","R","전통시장","3130205","신곡종합시장(신월6동 골목시장)","","","","","","","","","",""
"20261","R","전통시장","3130204","경창시장","379339536","92431700","47799988","28904836","47552622","66619700","17607111","10923084","51612861","15887634"
"20261","R","전통시장","3130203","서서울 골목형상점가","216634974","66698631","24442667","14898855","33753657","31141682","6898015","6815703","23716326","8269438"
