"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20222","11320","도봉구","CS200034","여관","561925433","12236","340824588","221100845","67976151","56748106","80150885","64277911","71671535","117395814","103705031","143898774","26344630","23058446","62776671","168171189","137675723","424786865","108803576","4470343","125065828","122494654","116462483","117628384","47468750","7612","4624","1506","1291","1807","1507","1501","2227","2397","2642","489","781","1875","3798","2651","9307","2493","119","2894","2634","2480","2485","1188"
"20222","11320","도봉구","CS200032","가전제품수리","241156686","3813","187636152","53520534","35599207","38336497","38575046","30292330","44833072","50561629","2958905","0","37983301","112922498","74046586","16204301","0","131359643","109221701","430195","3529292","14393089","28700060","56098482","137430226","3400","413","792","832","578","554","644","347","66","0","764","1268","1391","390","0","1950","1846","11","73","327","685","919","1781"
"20222","11320","도봉구","CS200031","세탁소","673784925","36887","476308214","197476711","82399771","90645382","124087847","85379169","93796045","178927501","18549210","0","96264307","173594671","208177423","192183282","3565242","265379710","404127428","841387","32950823","124434967","182142214","226989844","102147902","28374","8513","5641","5647","7278","4867","4941","7558","955","0","5450","8965","11443","10842","187","15618","21114","118","2611","6448","10229","11368","5959"
"20222","11320","도봉구","CS200030","피부관리실","411928288","4787","355739829","56188459","61222702","89549743","47592284","116810013","40565087","48966966","7221493","0","26576067","69434046","135921489","163973968","16022718","122390861","288519007","226596","29725492","40976160","110051887","114175630","115754103","3959","828","790","1032","653","1050","434","370","458","0","462","974","1765","1333","253","1562","3198","15","666","670","708","1749","951"
"20222","11320","도봉구","CS200029","네일숍","278701489","5078","223808043","54893446","38420833","54151567","55410288","30577099","45248256","34075065","20818381","0","8177342","78062887","84318455","88814647","19328158","36239392","242462097","4547184","26176644","57478327","72282911","77432140","40784283","4097","981","644","955","881","649","968","700","281","0","181","1668","1484","1577","168","812","4266","129","577","1287","928","1488","669"
"20222","11320","도봉구","CS200028","미용실","5155433685","171378","3286286549","1869147136","629057416","592639963","661432560","638214174","764942436","1190843897","678303239","0","124831403","1290740814","1694680992","1942937212","102243264","2101881893","3010503209","50752872","625164841","953022780","1350875320","1281889111","850680184","112069","59309","22254","19943","22382","21593","25897","35690","23619","0","7922","43638","54468","63915","1435","94134","76763","2810","22989","33099","42712","41588","27696"
"20222","11320","도봉구","CS200026","자동차미용","223798709","4975","141635678","82163031","20695549","22155594","18287859","27756784","52739892","50184511","31978520","0","38305794","57339318","78937773","49215824","0","134195243","42212433","0","12696999","38790353","49527183","48778767","26614376","3064","1911","470","561","400","631","1002","1141","770","0","899","1357","1868","851","0","3084","1022","0","308","858","1049","1228","659"
"20222","11320","도봉구","CS200025","자동차수리","9759491467","60501","7906166776","1853324691","1702433798","1396014700","1558722044","1389111427","1859884807","1747339720","105984971","0","1573412983","2574163736","3412968778","2189259217","9686753","6709575154","2201021457","5712483","399365255","1216479698","1953823765","2889254286","2445961126","48137","12364","10279","10065","8547","8565","10681","11113","1251","0","12477","17104","19900","10957","63","41383","14823","50","2480","9274","12413","17053","14949"
"20222","11320","도봉구","CS200024","스포츠클럽","1529747323","5654","1367561160","162186163","290697123","280263425","276092754","244263947","276243911","113687213","48498950","663350","127910747","297913662","326857063","589388500","187014001","612800902","913777459","3717152","495390544","305326918","292845681","278596808","150701259","4661","993","1104","1068","804","857","828","504","489","6","533","978","1178","2348","611","3047","2599","85","2071","1215","840","983","450"
"20222","11320","도봉구","CS200019","PC방","3568117736","806992","2337939383","1230178353","444789885","457915261","450363963","453431566","531438708","641184794","588993559","380789204","250734753","477664723","734410016","1131037757","593481283","2891536584","676581152","331609371","1660775753","954541649","264897912","296365715","59927336","533399","273593","100136","103985","102826","108628","117824","138413","135180","83922","53690","99606","169037","264977","135760","638852","168140","111935","368314","186444","57313","71896","11090"
"20222","11320","도봉구","CS200017","골프연습장","2256685845","45461","1499765354","756920491","415023824","292006155","266646421","277111625","248977329","379745899","377174592","26413649","441396134","408624309","521259545","659122716","199869492","1460608339","613130213","76063","42558539","191882523","559692444","707768146","571760841","26819","18642","5577","4825","5101","5269","6047","8827","9815","600","6383","9045","11141","13550","4742","33672","9179","15","957","4763","12559","14711","9845"
"20222","11320","도봉구","CS200016","당구장","1015928713","60381","690409732","325518981","133973524","151929701","138661734","115029240","150815533","174496362","151022619","105230778","30819168","33070199","172896340","391618104","282294124","871478250","137944533","7295124","70764591","93699541","193745536","382634285","261283707","39365","21016","8088","7722","8041","7104","8410","11063","9953","3376","985","1673","9861","26254","18232","56335","3995","1069","5188","5220","10179","22262","16414"
"20222","11320","도봉구","CS200008","한의원","5440389592","228633","4342494109","1097895483","832236425","1049401080","742529788","787691241","930635575","1022653096","75242387","0","841495118","1765816312","1618745412","1202383709","11949041","2045214003","3329844190","7923195","162257700","668097118","1110676790","1446549051","1979554339","188561","40072","40022","40147","34118","32232","42042","34951","5121","0","45076","72201","62757","47931","668","104166","123417","769","7934","27456","35037","51185","105204"
"20222","11320","도봉구","CS200007","치과의원","16862251015","125784","14805761874","2056489141","3174371345","3635086871","2570258406","2021038529","3405006723","1969043436","87445705","0","2541225182","5853351541","5530411323","2937127215","135754","8819180666","7990264524","21521237","1236566816","1682096733","3228624956","4984576050","5656059396","107866","17918","24343","24549","19199","15694","24081","17120","798","0","25803","35848","42697","21426","10","63704","61900","503","10767","15895","25307","31098","42035"
"20222","11320","도봉구","CS200006","일반의원","27898269639","1526576","23737128728","4161140911","5336509399","5237787863","3959836671","3813766204","5389228591","4070102801","91038110","0","7229534525","8578494621","7903669212","4183299836","3271445","11404556432","16472880597","133577176","2096728369","3337215808","5838048783","7277125026","9194741869","1305732","220844","305622","271620","222070","219827","286593","210231","10613","0","446479","405461","470490","203842","304","702742","823337","17200","117176","203016","312767","356117","519804"
"20222","11320","도봉구","CS200005","스포츠 강습","2759991824","11905","2686057161","73934663","558703185","556555185","504217581","580549296","486031914","66840271","7094392","4791948","128943101","290117899","628280601","1463139692","244718583","975483215","1727494781","18708082","401429358","591075175","1258708961","364716254","68340169","11562","343","2649","2300","2193","2442","1978","333","10","30","425","1350","3151","6019","930","5012","6767","182","1081","2514","6337","1342","321"
"20222","11320","도봉구","CS200003","예술학원","2552455974","14910","2437958557","114497417","499604385","566988705","476740345","434800305","459824817","103756015","10741402","1820415","19746985","368932332","1098258641","1016502488","47195113","1005180595","1499215000","9220426","76771879","606478404","1462002298","280256709","69665883","14230","680","3106","3398","2521","2483","2722","654","26","8","148","2129","6962","5405","258","5940","8853","41","674","3625","8312","1701","442"
"20222","11320","도봉구","CS200002","외국어학원","8704527","30","8704527","0","7149017","1555510","0","0","0","0","0","0","0","0","3991331","4713196","0","2435821","6268706","0","2435821","0","6268706","0","0","30","0","25","5","0","0","0","0","0","0","0","0","15","15","0","10","20","0","10","0","20","0","0"
"20222","11320","도봉구","CS200001","일반교습학원","12000184090","40388","10299546090","1700638000","1883071395","2238309706","2176003458","2127312210","1874849321","1043209415","657428585","33010108","459318244","1205231306","3399511429","5789992553","1113120450","4913273289","7014321173","36741585","23491446","703806844","7874192853","3074056624","215305107","35414","4974","6477","7851","7370","7397","6319","3146","1828","85","1355","3691","13011","18985","3261","16037","24167","197","56","2686","27895","8773","596"
"20222","11320","도봉구","CS100010","커피-음료","6051268517","926477","4086650075","1964618442","765560921","828644213","823378569","795718560","873347812","992778921","971839521","9142639","745915893","1798402766","1678076974","1508680584","311049661","2560981937","3298240041","150887774","1302185290","1341464839","1264990867","1152425855","647267371","647797","278680","125112","132764","129772","125198","134951","142836","135844","1528","146161","268767","255554","214098","40369","400951","509957","30545","222601","209548","192451","169409","86361"
"20222","11320","도봉구","CS100009","호프-간이주점","9649422513","242919","6606076945","3043345568","1042176346","1320100236","1273891076","1372227744","1597681543","1761871480","1281474088","1856245038","73965634","159257767","351274267","2671786281","4536893526","6399754588","2897257335","73462778","1617913923","1827986339","2097500742","2304123460","1376024676","165805","77114","28083","32398","32999","33332","38993","43789","33325","39438","869","8371","10825","74047","109369","157643","79838","2062","43070","47679","51654","58523","34493"
"20222","11320","도봉구","CS100008","분식전문점","5944316109","585492","4234033459","1710282650","802202165","791409405","849078205","871931380","919412304","973457787","736824863","102053192","526889680","1493173627","1055806030","2109880676","656512904","2870473938","2782385582","131758070","800452708","1102431287","1495314754","1376048772","746853929","425196","160296","82293","81415","84332","87270","89886","91604","68692","7568","60789","145189","109390","208454","54102","278370","295102","16058","84129","112769","143898","138269","78365"
"20222","11320","도봉구","CS100007","치킨전문점","2983580964","129684","1973355894","1010225070","300245995","370486618","381287977","421307041","500028263","540140189","470084881","212098072","1208959","98933924","233751827","1394716248","1042871934","1730536365","1202273831","30275889","369842615","524261058","786489385","811758201","410183045","85946","43738","12756","16349","17028","18140","21673","23423","20315","5949","89","5770","13999","66358","37519","72909","55716","2232","17368","23859","32266","33912","18982"
"20222","11320","도봉구","CS100006","패스트푸드점","4037354201","366330","2623466319","1413887882","490436656","485254467","493697264","507028298","647049634","695836670","718051212","37371002","347382574","923717943","793121672","1482552240","453208770","1965692666","1962333708","58187989","762927661","947885014","982138243","794296411","382591051","245521","120809","47417","48420","47679","47416","54589","60816","59993","4306","42639","85615","70291","121463","42016","177646","185245","6941","81403","95418","86172","62414","30542"
"20222","11320","도봉구","CS100005","제과점","7147227807","701525","4930136531","2217091276","914849413","997723728","953113429","964579127","1099870834","1204485688","1012605588","1460448","964864053","1705940538","1784764935","2204730095","485467738","2572070710","4266617914","49470750","910717912","1410412652","1771995111","1655046886","1041045321","494433","207092","94681","100219","98392","95905","105236","111698","95394","144","95369","159366","173947","222901","49798","256089","432299","6468","98082","142713","168283","161099","111737"
"20222","11320","도봉구","CS100004","양식음식점","893393901","53492","648016305","245377596","121868712","127129773","137062332","124529408","137426080","118488903","126888693","5477327","11087664","346674252","176105184","337745735","16303739","413198790","465850389","16972502","192407902","180099906","204557026","190587468","94424377","41253","12239","8032","8378","8583","7695","8565","6281","5958","108","952","21182","11546","19291","413","23630","29324","1437","14528","10508","10515","10840","5123"
"20222","11320","도봉구","CS100003","일식음식점","2651520768","78026","1793771564","857749204","296278058","352465855","360807275","341372344","442848032","550176813","307572391","65564675","14228620","587823346","344654730","1168734902","470514495","1503259963","964861355","29772401","407534095","508275663","556705383","566610918","399222857","56266","21760","9184","12134","11564","11043","12341","13053","8707","1208","607","25466","13858","29235","7652","40162","36174","2206","16861","16359","15376","15229","10301"
"20222","11320","도봉구","CS100002","중식음식점","3498989323","165395","2200460617","1298528706","365070549","414002425","436746935","472154758","512485950","627141175","671387531","6636232","28195449","1303785020","611959943","1364147384","184265295","1960035590","1282280823","75720064","352687490","562190825","816575193","863604106","571538744","110701","54694","18891","21190","21846","23499","25275","26973","27721","128","1747","66598","33082","60097","3743","94746","62811","7334","17979","24388","38583","40169","29095"
"20222","11320","도봉구","CS100001","한식음식점","63895712814","1941924","40711314805","23184398009","7331639964","7845434532","8149064413","8157484111","9227691785","12187815894","10996582115","968272606","1259364101","15529395406","9231020089","27950966887","8956693725","36525183520","22921659801","248956009","4946647023","9132977658","12567807961","16600827642","15949627047","1343596","598328","255101","262879","270661","263097","291858","315334","282994","27087","70289","641433","311577","715097","176441","1121137","746940","14993","163678","271264","374460","515281","528423"
"20222","11305","강북구","CS300043","전자상거래업","736520926","48802","578878442","157642484","128859680","112822266","129993893","84423454","122779149","113219263","44423221","21047597","41898680","49927375","85217278","419794248","118635748","291625195","442843100","9539095","152256868","151457319","200353597","106337360","114524057","37950","10852","8131","7859","8563","5213","8184","7289","3563","701","78","1959","5762","29679","10623","19570","29200","1226","14382","11519","11212","7692","2740"
"20222","11305","강북구","CS300036","조명용품","10224369589","149309","8595559381","1628810208","1524880927","2774409405","986101289","1614114975","1696052785","1613011494","15798714","0","4037917928","2433965020","3043543583","708943058","0","2979538355","4247441654","8809855","3426658491","286819282","778176916","1612227749","1114287718","126349","22960","26390","28556","26928","21912","22563","22393","567","0","34933","40524","51136","22716","0","85064","39252","220","12255","19596","23679","34354","34204"
"20222","11305","강북구","CS300035","인테리어","3024701022","34015","2747233509","277467513","297083037","635632148","303899801","253623881","1256994642","212967127","64500386","9599212","510158820","1902712201","458936894","143293895","0","533822863","860499444","0","3305689","69701349","128885321","175656428","1016773517","27757","6258","6530","6406","4785","4768","5268","4847","1411","233","11059","8600","10101","4022","0","17796","9590","0","260","4204","4610","6355","11960"
"20222","11305","강북구","CS300033","철물점","428317114","16710","359687303","68629811","71792122","90725969","97968545","44761742","54438925","52529039","16100772","230705","115984033","109574556","142436514","56751025","3340281","240701218","80113657","53976","17310744","30542559","50511185","108272879","114123534","13135","3575","2663","2852","2896","2186","2538","2830","745","18","4735","4503","5132","2309","13","10230","3269","18","1370","2247","2273","3629","3957"
"20222","11305","강북구","CS300032","가전제품","407273329","2274","298696657","108576672","91124775","62835812","62542387","44516649","37677034","73255456","35321216","0","25261070","128612466","160224127","93175666","0","180016281","215265659","2801511","16701922","4039923","43397249","102828185","225513151","1583","691","351","358","398","270","206","381","310","0","144","564","864","702","0","954","1284","11","91","87","213","532","1303"
"20222","11305","강북구","CS300031","가구","1402146621","3530","994632541","407514080","105928977","297182884","188805521","150665235","252049924","235226488","172287592","0","137373655","494244436","562299197","208229333","0","568575588","754088823","0","8015731","120970497","187592356","476068229","530017599","2485","1045","463","443","562","431","586","634","411","0","279","1107","1533","611","0","1460","1954","0","58","277","386","1074","1619"
"20222","11305","강북구","CS300029","애완동물","267244528","11945","199989210","67255318","46859928","34279069","39407476","34077360","45365377","43292402","23962916","0","16647554","60672725","85158062","99952325","4813862","106516425","160005287","248451","28656332","39105159","49837253","72957004","75717514","8873","3072","2097","1622","1583","1526","2045","2022","1050","0","632","2719","3626","4750","218","4688","7245","28","1397","1880","2185","3168","3275"
"20222","11305","강북구","CS300028","화초","1056272819","47857","678775668","377497151","121428310","144596140","142534683","110670887","159545648","229202840","148294311","221806","87056759","265532570","292543910","341629818","69287956","376446440","591768232","16837244","211875334","230815680","169399324","159821102","179465982","28033","19824","5129","5502","4853","4939","7610","12447","7377","18","3683","11638","12648","17674","2196","17538","29113","1179","12242","10223","7600","8189","7220"
"20222","11305","강북구","CS300027","섬유제품","2087385405","42111","1767061510","320323895","397405110","263106282","542786336","251161019","312602763","222287578","98036317","0","341854747","684925368","733792120","324929687","1883483","641379512","1272027691","0","39501370","316770938","126363515","844664452","586106926","37238","4873","9181","6828","7861","5380","7988","3752","1121","0","7035","13053","13060","8885","78","14322","22268","0","850","6830","3259","12873","12775"
"20222","11305","강북구","CS300026","완구","53045413","1216","43051112","9994301","3320476","6892999","7616272","11194276","14027089","4060185","5934116","383553","2010915","6268356","14169552","27950073","2262964","52116832","928581","0","556686","2774111","4860402","26803926","18050288","963","253","208","187","153","99","316","154","99","11","132","220","242","578","33","1171","45","0","11","388","134","413","270"
