"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20261","A","골목상권","3111040","거여초등학교","10247","5073","5174","1300","1283","1336","1556","1892","2880","680","684","679","804","882","1344","620","599","657","752","1010","1536","4503","0","4503"
"20261","A","골목상권","3111039","벌말어린이공원","11694","5814","5880","1371","1539","1575","1722","2187","3300","715","818","812","894","1032","1543","656","721","763","828","1155","1757","5214","0","5214"
"20261","A","골목상권","3111038","보인중학교","11718","5761","5957","1460","1570","1591","1720","2178","3199","774","801","811","876","1031","1468","686","769","780","844","1147","1731","5006","0","5006"
"20261","A","골목상권","3111037","Sh수협은행 오금동금융센터(아랫말어린이공원)","8054","3884","4170","1315","970","1039","1250","1397","2083","704","505","519","603","643","910","611","465","520","647","754","1173","3526","0","3526"
"20261","A","골목상권","3111036","투구봉어린이공원","9582","4655","4927","1258","1292","1455","1290","1704","2583","649","647","756","615","799","1189","609","645","699","675","905","1394","3983","0","3983"
"20261","A","골목상권","3111035","오금공원(오주중학교)","9917","4898","5019","1138","1377","1473","1410","1824","2695","601","697","783","699","843","1275","537","680","690","711","981","1420","4483","0","4483"
"20261","A","골목상권","3111034","오동나무공원(송파레미니스1단지)","12198","5830","6368","2003","1499","1636","1890","2107","3063","1057","769","798","890","966","1350","946","730","838","1000","1141","1713","5142","0","5142"
"20261","A","골목상권","3111033","문정동성당","5404","2629","2775","835","668","801","840","838","1422","413","361","365","413","399","678","422","307","436","427","439","744","2160","0","2160"
"20261","A","골목상권","3111032","방이역 1번","14713","7079","7634","2382","1808","1668","2177","2608","4070","1223","923","761","1007","1248","1917","1159","885","907","1170","1360","2153","5559","0","5559"
"20261","A","골목상권","3111031","장지동주민센터(한림연예예술고교)","13433","6554","6879","2104","1770","2170","2185","2135","3069","1043","897","1061","1099","1019","1435","1061","873","1109","1086","1116","1634","5582","0","5582"
