"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20261","11560610","양평1동","4024456000","735611000","18233000","29222000","364605000","924831000","122960000","26033000","398398000","207416000","1197147000"
"20261","11560605","문래동","1651746923000","2233034000","76982000","175956000","2108513000","370487000","513550000","278826000","1640729283000","643047000","4617245000"
"20261","11560585","도림동","2564363000","1286665000","10187000","29476000","120023000","141456000","94775000","50482000","182561000","95371000","553367000"
"20261","11560560","당산2동","8696994000","2047043000","109047000","10686000","1624044000","97238000","472651000","244538000","452678000","587689000","3051380000"
"20261","11560550","당산1동","6561007000","1363358000","49085000","60067000","882345000","296469000","189664000","186768000","308503000","695690000","2529058000"
"20261","11560540","여의동","248670894000","3835269000","782235000","314627000","8065610000","159102277000","814633000","628377000","25030192000","36812125000","13285549000"
"20261","11560535","영등포동","31706596000","3999034000","2209306000","755651000","6252662000","369555000","288641000","1066304000","6115274000","1102775000","9547394000"
"20261","11560515","영등포본동","3988143000","1619151000","72320000","30846000","561450000","228539000","139529000","67554000","265499000","140657000","862598000"
"20261","11545710","시흥5동","1891154000","764449000","16639000","65165000","262638000","30378000","46190000","62782000","141408000","78412000","423093000"
"20261","11545700","시흥4동","1336277000","779733000","7529000","12519000","224875000","32530000","51649000","20221000","37550000","36392000","133279000"
"20261","11545690","시흥3동","1443446000","411514000","5821000","64762000","55029000","533456000","18084000","41065000","35512000","29455000","248748000"
"20261","11545680","시흥2동","833041000","481801000","28859000","3663000","69990000","3758000","115903000","7507000","30728000","33701000","57131000"
"20261","11545670","시흥1동","9171476000","2356837000","263584000","71678000","1609548000","628320000","358872000","292467000","546476000","216735000","2826959000"
"20261","11545640","독산4동","1751611000","345489000","16965000","5425000","300199000","165457000","50535000","124708000","117653000","95646000","529534000"
"20261","11545630","독산3동","5013042000","1877923000","110102000","101750000","837554000","623068000","134968000","147755000","267472000","119695000","792755000"
"20261","11545620","독산2동","2658694000","1028364000","75458000","19887000","178970000","446148000","78666000","59266000","167160000","45115000","559660000"
"20261","11545610","독산1동","9541179000","2877607000","118734000","199426000","2470217000","813789000","384024000","175976000","482610000","329434000","1689362000"
"20261","11545510","가산동","36735344000","3458716000","10138651000","452248000","4345735000","498710000","220281000","350281000","10960810000","867952000","5441960000"
"20261","11530800","항동","1108017000","270092000","10086000","918000","115979000","246322000","211863000","1807000","37127000","25628000","188195000"
"20261","11530790","수궁동","2561749000","719867000","38306000","13225000","106587000","614314000","577811000","21817000","90579000","32291000","346952000"
"20261","11530780","오류2동","4077288000","2124083000","27580000","32559000","327859000","109905000","284014000","50635000","265316000","164831000","690506000"
"20261","11530770","오류1동","3384118000","966027000","99020000","17801000","678758000","192948000","107934000","171716000","208801000","64785000","876328000"
"20261","11530760","개봉3동","2753968000","1388610000","28093000","70301000","220413000","152075000","95339000","61285000","122357000","80870000","534625000"
"20261","11530750","개봉2동","3577858000","1086326000","43750000","58421000","808829000","14137000","300832000","82481000","157026000","111091000","914965000"
"20261","11530740","개봉1동","4899930000","1866706000","74023000","72366000","575275000","801459000","119357000","86273000","211732000","233071000","859668000"
"20261","11530730","고척2동","3255216000","1194245000","33718000","27499000","670740000","376158000","158769000","52044000","83793000","76815000","581435000"
"20261","11530720","고척1동","6658983000","1671321000","70360000","89089000","1546603000","97669000","288530000","149240000","650740000","151306000","1944125000"
"20261","11530595","가리봉동","1269648000","525991000","7022000","18034000","134324000","140886000","4405000","91405000","57004000","18649000","271928000"
"20261","11530560","구로5동","17825562000","5244231000","129030000","485680000","2628502000","127371000","226576000","322214000","4312499000","1006660000","3342799000"
"20261","11530550","구로4동","5509431000","2269924000","218728000","44384000","795269000","76881000","154899000","181551000","252734000","145243000","1369818000"
"20261","11530540","구로3동","2021095946000","2175884000","341341000","132129000","4210467000","294522000","494707000","595284000","2007039449000","518410000","5293753000"
"20261","11530530","구로2동","15421204000","1318627000","122455000","665922000","10655829000","484756000","74119000","165588000","353795000","81074000","1499039000"
"20261","11530520","구로1동","2110335000","718978000","15036000","4893000","276978000","261188000","255907000","13212000","92927000","90360000","380856000"
"20261","11530510","신도림동","8146567000","1483792000","87121000","19899000","1252694000","127767000","785248000","122723000","521901000","1567166000","2178256000"
"20261","11500641","방화3동","1628435000","755130000","658000","5778000","210708000","1674000","72510000","23189000","149836000","55034000","353918000"
"20261","11500640","방화2동","9298296000","1213446000","3774501000","47508000","771352000","605875000","40876000","86901000","527713000","942083000","1288041000"
"20261","11500630","방화1동","6903420000","2048843000","94368000","73269000","1250692000","398168000","769437000","106023000","359954000","223422000","1579244000"
"20261","11500620","공항동","7235722000","1605410000","116607000","156003000","1338985000","990224000","195307000","145852000","674803000","194426000","1818105000"
"20261","11500615","우장산동","6970359000","2072266000","135055000","141126000","1856662000","96267000","1011490000","65142000","266080000","398451000","927820000"
"20261","11500611","발산1동","28512659000","4071497000","133212000","265299000","11339259000","5893259000","1995446000","29094000","1029625000","815530000","2940438000"
"20261","11500605","가양3동","430556000","215045000","9112000","11304000","48675000","5045000","28338000","719000","32754000","9723000","69841000"
"20261","11500604","가양2동","1670139000","486542000","32687000","2244000","540881000","206281000","23676000","12879000","108403000","40670000","215876000"
