행정동_코드,행정동_코드_명,당월_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,아침_비중,점심_비중,저녁_비중,컨셉_적합도,분기초_매출,점포_수,자치구_코드,성장률,카페1개당_평균매출_억원
11470550,목5동,943946472,140508716,267509336,234966500,14.9,28.3,24.9,68.1,893127706,19,11470,5.7,0.5
11470560,신월1동,132494755,16842781,40949341,27537721,12.7,30.9,20.8,64.4,107675746,22,11470,23.0,0.06
11470570,신월2동,143998329,14022014,37246582,27340490,9.7,25.9,19.0,54.6,135537847,18,11470,6.2,0.08
11470580,신월3동,181762930,33367401,54279233,43701214,18.4,29.9,24.0,72.3,177505309,15,11470,2.4,0.12
11470590,신월4동,192671123,33376122,66760260,37898333,17.3,34.6,19.7,71.6,199849262,19,11470,-3.6,0.1
11470600,신월5동,271399291,58908528,87190357,42291406,21.7,32.1,15.6,69.4,316433347,16,11470,-14.2,0.17
11470610,신월6동,54005588,8728756,15281205,13477533,16.2,28.3,25.0,69.5,53188295,12,11470,1.5,0.05
11470611,신월7동,89433094,13963757,29829624,17519904,15.6,33.4,19.6,68.6,119969307,12,11470,-25.5,0.07
11470620,신정1동,387311806,57949120,171520380,68441110,15.0,44.3,17.7,77.0,343749197,32,11470,12.7,0.12
11470630,신정2동,298712492,34429178,114547505,51703734,11.5,38.3,17.3,67.1,247728423,32,11470,20.6,0.09
11470640,신정3동,1290126762,214581612,378636778,301860850,16.6,29.3,23.4,69.3,782644320,29,11470,64.8,0.44
11470650,신정4동,904179303,131438439,346190883,187876995,14.5,38.3,20.8,73.6,918648838,65,11470,-1.6,0.14
11470670,신정6동,400454120,117265392,169427244,22738525,29.3,42.3,5.7,77.3,351672959,14,11470,13.9,0.29
11470680,신정7동,1072641282,188927862,385199551,204780189,17.6,35.9,19.1,72.6,847955509,20,11470,26.5,0.54
11500510,염창동,2124383651,413193099,812243667,362305846,19.5,38.2,17.1,74.8,1857469814,50,11500,14.4,0.42
11500520,등촌1동,2453364326,494182914,1002123908,379674584,20.1,40.8,15.5,76.4,1940894214,56,11500,26.4,0.44
11500530,등촌2동,231003580,29331351,69066927,61830915,12.7,29.9,26.8,69.4,264841543,16,11500,-12.8,0.14
11500535,등촌3동,913789485,119804064,306449776,209063102,13.1,33.5,22.9,69.5,1114860926,36,11500,-18.0,0.25
11500540,화곡1동,1774289224,142864205,464479234,528758989,8.1,26.2,29.8,64.1,1839779160,62,11500,-3.6,0.29
11500550,화곡2동,49571129,5337282,21208031,5896932,10.8,42.8,11.9,65.5,38891000,13,11500,27.5,0.04
