기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,전체_점포_수,총_직장_인구_수,총_상주인구_수,카페1개당_평균매출,카페1개당_평균매출_억원,점심_매출비중,평일_매출비중,주간인구지수
20261,11470,양천구,CS100010,커피-음료,10559638947,1811328,7225829567,3333809380,1339409344,1463992098,1312753894,1481081111,1628593120,1771907365,1561902015,89064669,1688868979,3532937537,2630579593,2139520781,478667388,4680984777,5347325691,211828405,1160195925,2255448641,2819112500,2335659835,1246065162,1253384,557944,238139,251344,231036,257548,275317,302225,255719,5419,365717,585566,448411,346356,59859,865806,903673,45012,198997,401324,497029,419309,207811,674.0,85678,435645,15667120.099406527,0.16,33.5,68.4,19.7
20261,11440,마포구,CS100010,커피-음료,57135302880,6255754,37920716069,19214586811,6847708686,7144251452,7024787999,8016063514,8887904418,10665382004,8549204807,644283941,5690595668,17722445642,16479134589,13633189763,2965653277,19951893418,31342263245,926058827,16616942895,15966158616,8008188479,6592178180,3184629666,4431156,1824598,823381,873942,832660,908976,992197,1017670,806928,24686,1092641,2008143,1695041,1241559,193684,2480044,3395213,93261,1723614,1870631,959197,828370,400209,2320.0,120344,362701,24627285.724137932,0.25,31.0,66.4,33.2
20261,11410,서대문구,CS100010,커피-음료,18354016854,2232983,12842519744,5511497110,2432158090,2545979255,2409256893,2643429382,2811696124,3031603944,2479893166,163337196,2013082721,5814370262,5214898064,4276371641,871956970,6327685320,10880339204,217046963,5804697856,4373923051,2604908928,2746446797,1461000935,1636914,596069,317561,335189,308325,334005,341834,323657,272412,12789,381366,705000,594629,456317,82882,861806,1306263,28807,749069,536527,321152,351268,181240,885.0,35863,305725,20739002.094915256,0.21,31.7,70.0,11.7
20261,11380,은평구,CS100010,커피-음료,7875882753,1145793,5279804692,2596078061,988874017,1044241380,1016176226,1098229569,1132283500,1413129148,1182948913,35569326,1014271912,2367307737,2238200756,1822688934,397844088,3322028246,4137803734,70452145,1048954717,1755955431,1576762509,1593212784,1414494388,777934,367859,151124,154800,147202,159141,165667,198900,168959,4042,204677,344413,309013,239429,44219,517319,614460,12233,160913,280278,236102,250827,191423,762.0,31146,466475,10335804.137795275,0.1,30.1,67.0,6.7
20261,11350,노원구,CS100010,커피-음료,15415802889,2352294,10268427349,5147375540,1924128602,2102602398,1944078159,2043007686,2254610504,2797129385,2350246155,76450793,1927055227,4773828745,4212382770,3674976162,751109192,6440061124,8400790547,212685662,2992135012,3451399753,3102143883,3108353560,1974133806,1621515,730779,309590,333067,304482,327387,346989,398276,332503,4530,423033,718069,623160,503331,80171,1061140,1254950,37827,464607,525979,475888,496517,315251,809.0,28109,498037,19055380.57972806,0.19,31.0,66.6,5.6
20261,11320,도봉구,CS100010,커피-음료,6057752183,923161,4022835422,2034916761,743475079,850064988,729440667,828617332,871237356,1032149089,1002767672,13170923,858558359,2023675073,1654796869,1323458698,184092261,2628721427,3261930500,48137098,671510624,1252353960,1235213453,1404637537,1278799270,633263,289898,123851,130976,116158,127904,134374,147686,142212,2111,181349,293791,245432,175807,24671,434907,475026,9244,111024,199498,192118,211509,186544,432.0,20112,306437,14022574.497685185,0.14,33.4,66.4,6.6
20261,11305,강북구,CS100010,커피-음료,7697478184,975780,5230181964,2467296220,954851702,1060747440,991453819,1069755723,1153373280,1315496121,1151800099,107650595,830896390,2336199447,2144372063,1835660578,442699111,3346141594,3979050194,62337907,1114422928,1623515485,1400185400,1605180390,1519549665,678738,297042,129569,139691,126462,136287,146729,160275,136767,9611,153409,292803,262552,208470,48935,444564,514615,9817,164402,234727,193247,196543,160455,540.0,14740,287918,14254589.22962963,0.14,30.4,67.9,5.1
20261,11290,성북구,CS100010,커피-음료,20491530633,2925271,14417643377,6073887256,2655883477,3025513548,2733493965,2919717884,3083034503,3306622496,2767264760,145146768,2430409609,6099159267,5584429540,5135989547,1096395902,7936498373,11680042576,404923896,5695173776,4295407317,3386700467,3853570873,1980764615,2125025,800246,406358,432711,406973,441281,437702,432330,367916,7405,518380,905729,758245,626590,108922,1246243,1646238,64457,818493,652461,500008,591402,265670,937.0,68606,425160,21869296.299893275,0.22,29.8,70.4,16.1
20261,11260,중랑구,CS100010,커피-음료,7391749839,1141233,4924747544,2467002295,953197986,981665634,940394048,980719908,1068769968,1364526270,1102476025,36291296,961628382,2159936136,2072953397,1781616347,379324281,3170322726,4002391039,76388108,1061533214,1924862788,1436020742,1400033492,1273875416,774116,367117,152441,156163,144419,154950,166143,202275,164842,4018,191395,328613,314201,254951,48055,515886,611046,11872,174427,321908,231813,211122,175786,652.0,21334,381547,11337039.630368099,0.11,29.2,66.6,5.6
20261,11230,동대문구,CS100010,커피-음료,12202939358,1835802,8941676823,3261262535,1718781108,1821962379,1625516221,1823500993,1951916122,1740759906,1520502629,83669566,1823228294,4235175348,2931246272,2540986563,588633315,5376727223,6062868770,153789018,2844375208,2603827229,2160088624,2198172886,1479343030,1350102,485700,262124,279832,253065,273607,281474,257873,227827,8619,372345,611290,438570,339130,65848,884047,908269,22683,454735,429630,323235,350342,211703,842.0,50705,340101,14492802.087885985,0.14,34.7,73.3,14.9
20261,11215,광진구,CS100010,커피-음료,20275793665,2698818,13822299964,6453493701,2543033814,2764890504,2497674912,2863522940,3153177794,3627969583,2825524118,85997470,2622548032,6211888302,5584858519,4811148237,959353105,7925736423,10999520322,254506398,4820035238,4888688736,3304485184,3389095591,2268445598,1890017,808801,358372,385086,351525,388058,406976,445822,362979,5654,474236,824248,722809,568985,102886,1153607,1461450,35168,669803,687911,476450,462766,282971,987.0,56058,334942,20542850.724417426,0.21,30.6,68.2,16.7
20261,11200,성동구,CS100010,커피-음료,20135613084,2187465,14501281778,5634331306,2562330408,2850078110,2733513828,3021312901,3334046531,3072531613,2561799693,20387954,2573807211,7520298967,5770200604,3853775456,397142892,7658074590,9988894962,132133534,4092533478,5939807512,3346804391,2610438219,1525252417,1666413,521052,308712,334894,313353,343814,365640,284837,236215,1308,454293,790923,559006,349255,32680,973570,1049754,16026,445232,705058,378360,300770,177881,1026.0,73657,276723,19625353.883040935,0.2,37.3,72.0,26.6
20261,11170,용산구,CS100010,커피-음료,21826951029,2209489,15337099212,6489851817,2707315094,2983893634,2965964958,3060249992,3619675534,3652701439,2837150378,139502178,2761921904,7901611948,5977253927,4209599245,837061827,7573411544,10899239223,113953817,4454458273,6145897833,3604882564,2769448521,1384009762,1623941,585548,299758,325349,309473,329902,359459,321318,264230,7469,439275,803903,569249,351142,38451,870893,1130575,15493,473613,669039,392692,297642,152992,1121.0,176024,212914,19470964.343443353,0.19,36.2,70.3,82.7
20261,11140,중구,CS100010,커피-음료,63300702618,7392952,53147880909,10152821709,9331405386,11018370892,9970646590,10974751536,11852706505,5870483254,4282338455,119635029,11533746678,27531809487,13771273000,8449252751,1894985673,26296094232,25749212943,194096582,7502969185,14933169322,14286656869,9916132514,5212282731,6207854,1185098,1154880,1267825,1163924,1296574,1324651,676193,508905,19004,2300762,2879379,1323361,750426,120020,3314501,3446552,25727,1034736,2180606,1781721,1199404,538872,1367.0,406487,120961,46306293.063643016,0.46,43.5,84.0,336.0
20261,11110,종로구,CS100010,커피-음료,63608671549,6023984,44865075734,18743595815,7985701256,8703998987,8647369793,9308882178,10219123520,10715585698,8028010117,151792018,7155152150,23587629955,18905521470,12225045294,1583530662,22538738228,33840602274,305142793,12050020845,15675705153,11080661922,10280188215,6987621548,4547696,1476288,822717,899131,879949,949273,996626,843674,632614,5173,1205816,2207402,1576035,940854,88704,2455001,3148932,32910,1146633,1669515,1150042,995033,609753,1567.0,223590,138891,40592642.979578815,0.41,37.1,70.5,161.0
